binary_package	binary_version	source_package	source_version
libunwind	1:20.1.8~++20250708082409+6fb913d3e2ec-1~exp1~20250708202428.132	llvm-toolchain-20	1:20.1.8~++20250708082409+6fb913d3e2ec-1~exp1~20250708202428.132
libunwind-20-dev	1:20.1.8~++20250708082409+6fb913d3e2ec-1~exp1~20250708202428.132	llvm-toolchain-20	1:20.1.8~++20250708082409+6fb913d3e2ec-1~exp1~20250708202428.132
libuuid1	2.37.2-4ubuntu3.5	util-linux	2.37.2-4ubuntu3.5
libuv1	1.43.0-1ubuntu0.1	libuv1	1.43.0-1ubuntu0.1
libvorbis0a	1.3.7-1build2	libvorbis	1.3.7-1build2
libvorbisenc2	1.3.7-1build2	libvorbis	1.3.7-1build2
libvulkan-dev	1.3.204.1-2	vulkan-loader	1.3.204.1-2
libvulkan1	1.3.204.1-2	vulkan-loader	1.3.204.1-2
libwacom-dev	2.2.0-1	libwacom	2.2.0-1
libwacom9	2.2.0-1	libwacom	2.2.0-1
libwayland-client0	1.20.0-1ubuntu0.1	wayland	1.20.0-1ubuntu0.1
libwayland-cursor0	1.20.0-1ubuntu0.1	wayland	1.20.0-1ubuntu0.1
libwayland-dev	1.20.0-1ubuntu0.1	wayland	1.20.0-1ubuntu0.1
libwayland-egl1	1.20.0-1ubuntu0.1	wayland	1.20.0-1ubuntu0.1
libwayland-server0	1.20.0-1ubuntu0.1	wayland	1.20.0-1ubuntu0.1
libwebp7	1.2.2-2ubuntu0.22.04.2	libwebp	1.2.2-2ubuntu0.22.04.2
libx11-6	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3
libx11-dev	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3
libx11-xcb-dev	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3
libx11-xcb1	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3
libxau-dev	1:1.0.9-1build5	libxau	1:1.0.9-1build5
libxau6	1:1.0.9-1build5	libxau	1:1.0.9-1build5
libxaw7	2:1.0.14-1	libxaw	2:1.0.14-1
libxcb-cursor-dev	0.1.1-4ubuntu1	xcb-util-cursor	0.1.1-4ubuntu1
libxcb-cursor0	0.1.1-4ubuntu1	xcb-util-cursor	0.1.1-4ubuntu1
libxcb-dri2-0	1.14-3ubuntu3	libxcb	1.14-3ubuntu3
libxcb-dri3-0	1.14-3ubuntu3	libxcb	1.14-3ubuntu3
libxcb-glx0	1.14-3ubuntu3	libxcb	1.14-3ubuntu3
libxcb-glx0-dev	1.14-3ubuntu3	libxcb	1.14-3ubuntu3
libxcb-icccm4	0.4.1-1.1build2	xcb-util-wm	0.4.1-1.1build2
libxcb-icccm4-dev	0.4.1-1.1build2	xcb-util-wm	0.4.1-1.1build2
libxcb-image0	0.4.0-2	xcb-util-image	0.4.0-2
libxcb-image0-dev	0.4.0-2	xcb-util-image	0.4.0-2
libxcb-keysyms1	0.4.0-1build3	xcb-util-keysyms	0.4.0-1build3
libxcb-keysyms1-dev	0.4.0-1build3	xcb-util-keysyms	0.4.0-1build3
libxcb-present0	1.14-3ubuntu3	libxcb	1.14-3ubuntu3
libxcb-randr0	1.14-3ubuntu3	libxcb	1.14-3ubuntu3
libxcb-randr0-dev	1.14-3ubuntu3	libxcb	1.14-3ubuntu3
libxcb-render-util0	0.3.9-1build3	xcb-util-renderutil	0.3.9-1build3
libxcb-render-util0-dev	0.3.9-1build3	xcb-util-renderutil	0.3.9-1build3
libxcb-render0	1.14-3ubuntu3	libxcb	1.14-3ubuntu3
libxcb-render0-dev	1.14-3ubuntu3	libxcb	1.14-3ubuntu3
libxcb-shape0	1.14-3ubuntu3	libxcb	1.14-3ubuntu3
libxcb-shape0-dev	1.14-3ubuntu3	libxcb	1.14-3ubuntu3
libxcb-shm0	1.14-3ubuntu3	libxcb	1.14-3ubuntu3
libxcb-shm0-dev	1.14-3ubuntu3	libxcb	1.14-3ubuntu3
libxcb-sync-dev	1.14-3ubuntu3	libxcb	1.14-3ubuntu3
libxcb-sync1	1.14-3ubuntu3	libxcb	1.14-3ubuntu3
libxcb-util-dev	0.4.0-1build2	xcb-util	0.4.0-1build2
libxcb-util1	0.4.0-1build2	xcb-util	0.4.0-1build2
libxcb-xfixes0	1.14-3ubuntu3	libxcb	1.14-3ubuntu3
libxcb-xfixes0-dev	1.14-3ubuntu3	libxcb	1.14-3ubuntu3
libxcb-xinerama0	1.14-3ubuntu3	libxcb	1.14-3ubuntu3
libxcb-xinerama0-dev	1.14-3ubuntu3	libxcb	1.14-3ubuntu3
libxcb-xinput-dev	1.14-3ubuntu3	libxcb	1.14-3ubuntu3
libxcb-xinput0	1.14-3ubuntu3	libxcb	1.14-3ubuntu3
libxcb-xkb-dev	1.14-3ubuntu3	libxcb	1.14-3ubuntu3
libxcb-xkb1	1.14-3ubuntu3	libxcb	1.14-3ubuntu3
libxcb1	1.14-3ubuntu3	libxcb	1.14-3ubuntu3
libxcb1-dev	1.14-3ubuntu3	libxcb	1.14-3ubuntu3
libxcomposite-dev	1:0.4.5-1build2	libxcomposite	1:0.4.5-1build2
libxcomposite1	1:0.4.5-1build2	libxcomposite	1:0.4.5-1build2
libxcursor-dev	1:1.2.0-2build4	libxcursor	1:1.2.0-2build4
libxcursor1	1:1.2.0-2build4	libxcursor	1:1.2.0-2build4
libxdamage-dev	1:1.1.5-2build2	libxdamage	1:1.1.5-2build2
libxdamage1	1:1.1.5-2build2	libxdamage	1:1.1.5-2build2
libxdmcp-dev	1:1.1.3-0ubuntu5	libxdmcp	1:1.1.3-0ubuntu5
libxdmcp6	1:1.1.3-0ubuntu5	libxdmcp	1:1.1.3-0ubuntu5
libxext-dev	2:1.3.4-1build1	libxext	2:1.3.4-1build1
libxext6	2:1.3.4-1build1	libxext	2:1.3.4-1build1
libxfixes-dev	1:6.0.0-1	libxfixes	1:6.0.0-1
libxfixes3	1:6.0.0-1	libxfixes	1:6.0.0-1
libxft-dev	2.3.4-1	xft	2.3.4-1
libxft2	2.3.4-1	xft	2.3.4-1
libxi-dev	2:1.8-1build1	libxi	2:1.8-1build1
libxi6	2:1.8-1build1	libxi	2:1.8-1build1
libxinerama-dev	2:1.1.4-3	libxinerama	2:1.1.4-3
libxinerama1	2:1.1.4-3	libxinerama	2:1.1.4-3
libxkbcommon-dev	1.4.0-1	libxkbcommon	1.4.0-1
libxkbcommon-x11-0	1.4.0-1	libxkbcommon	1.4.0-1
libxkbcommon-x11-dev	1.4.0-1	libxkbcommon	1.4.0-1
libxkbcommon0	1.4.0-1	libxkbcommon	1.4.0-1
libxml2	2.9.13+dfsg-1ubuntu0.11	libxml2	2.9.13+dfsg-1ubuntu0.11
libxmu6	2:1.1.3-3	libxmu	2:1.1.3-3
libxpm4	1:3.5.12-1ubuntu0.22.04.2	libxpm	1:3.5.12-1ubuntu0.22.04.2
libxrandr-dev	2:1.5.2-1build1	libxrandr	2:1.5.2-1build1
libxrandr2	2:1.5.2-1build1	libxrandr	2:1.5.2-1build1
libxrender-dev	1:0.9.10-1build4	libxrender	1:0.9.10-1build4
libxrender1	1:0.9.10-1build4	libxrender	1:0.9.10-1build4
libxshmfence1	1.3-1build4	libxshmfence	1.3-1build4
libxt6	1:1.2.1-1	libxt	1:1.2.1-1
libxtst-dev	2:1.2.3-1build4	libxtst	2:1.2.3-1build4
libxtst6	2:1.2.3-1build4	libxtst	2:1.2.3-1build4
libxxf86vm1	1:1.1.4-1build3	libxxf86vm	1:1.1.4-1build3
libxxhash0	0.8.1-1	xxhash	0.8.1-1
libyaml-0-2	0.2.2-1build2	libyaml	0.2.2-1build2
libzstd-dev	1.4.8+dfsg-3build1	libzstd	1.4.8+dfsg-3build1
libzstd1	1.4.8+dfsg-3build1	libzstd	1.4.8+dfsg-3build1
linux-libc-dev	5.15.0-176.186	linux	5.15.0-176.186
make	4.3-4.1build1	make-dfsg	4.3-4.1build1
qt5-qmake	5.15.3+dfsg-2ubuntu0.2	qtbase-opensource-src	5.15.3+dfsg-2ubuntu0.2
qtbase5-dev	5.15.3+dfsg-2ubuntu0.2	qtbase-opensource-src	5.15.3+dfsg-2ubuntu0.2
rpcsvc-proto	1.4.2-0ubuntu6	rpcsvc-proto	1.4.2-0ubuntu6
shared-mime-info	2.1-2	shared-mime-info	2.1-2
sudo	1.9.9-1ubuntu2.6	sudo	1.9.9-1ubuntu2.6
systemd	249.11-0ubuntu3.20	systemd	249.11-0ubuntu3.20
unixodbc-dev	2.3.9-5ubuntu0.1	unixodbc	2.3.9-5ubuntu0.1
uuid-dev	2.37.2-4ubuntu3.5	util-linux	2.37.2-4ubuntu3.5
wayland-protocols	1.25-1	wayland-protocols	1.25-1
x11proto-dev	2021.5-1	xorgproto	2021.5-1
xkb-data	2.33-1	xkeyboard-config	2.33-1
xorg-sgml-doctools	1:1.11-1.1	xorg-sgml-doctools	1:1.11-1.1
xtrans-dev	1.4.0-1	xtrans	1.4.0-1
zlib1g	1:1.2.11.dfsg-2ubuntu9.2	zlib	1:1.2.11.dfsg-2ubuntu9.2
zlib1g-dev	1:1.2.11.dfsg-2ubuntu9.2	zlib	1:1.2.11.dfsg-2ubuntu9.2
